,DBA,BORO,STREET,ZIPCODE
2670,SPEEDY'S DELI,Manhattan,BROADWAY,10001.0
14992,CAJUN SEA,Manhattan,WEST   33 STREET,10001.0
34799,GOPCHANG STORY NY,Manhattan,5 AVENUE,10001.0
26360,HAMPTON INN-HERALD SQUARE,Manhattan,WEST   31 STREET,10001.0
34811,JUST SALAD,Manhattan,WEST   34 STREET,10001.0
52302,MCDONALD'S,Manhattan,8 AVENUE,10001.0
9013,STARBUCKS,Manhattan,6 AVENUE,10001.0
76231,PISILLO ITALIAN PANINI,Manhattan,WEST   25 STREET,10001.0
28863,HOOPS CABARET AND SPORTS BAR,Manhattan,WEST   33 STREET,10001.0
26366,MULBERRY AND VINE,Manhattan,WEST   27 STREET,10001.0
88330,CEDRIC'S AT THE SHED,Manhattan,WEST   30 STREET,10001.0
56220,NAYA,Manhattan,7 AVENUE,10001.0
29766,KOKU RAMEN,Manhattan,WEST   32 STREET,10001.0
15041,33 GOURMET,Manhattan,WEST   33 STREET,10001.0
1096,BOBA GUYS,Manhattan,7 AVENUE,10001.0
45571,OSAMIL,Manhattan,WEST   31 STREET,10001.0
2811,ANDIAMO PIZZA,Manhattan,6 AVENUE,10001.0
1864,SWEETGREEN,Manhattan,BROADWAY,10001.0
5623,E-MO KIMBOB,Manhattan,WEST   32 STREET,10001.0
34951,TAKUMI TACO,Manhattan,WEST   32 STREET,10001.0
7334,UDON LAB,Manhattan,WEST   32 STREET,10001.0
52387,HUTAOLI MUSIC RESTAURANT & BAR,Manhattan,WEST   33 STREET,10001.0
45374,KARAOKE CITY,Manhattan,WEST   32 STREET,10001.0
2841,HAN BAT RESTAURANT,Manhattan,WEST   35 STREET,10001.0
11298,AARONS CHINESE AND THAI,Manhattan,9 AVENUE,10001.0
21103,CORK & KALE AT EVEN HOTEL,Manhattan,WEST   35 STREET,10001.0
206300,SPACE PING PONG LOUNGE & BAR,Manhattan,WEST   32 STREET,10001.0
58668,"BLACK TAP CRAFT BURGERS AND BEER, LOT 15",Manhattan,WEST   35 STREET,10001.0
88825,LEVY AT JAVITS CENTER,Manhattan,WEST   34 STREET,10001.0
131338,UMAMI BURGER/SA'MOTO,Manhattan,WEST   33 STREET,10001.0
7328,$1 PIZZA,Manhattan,6 AVENUE,10001.0
12640,ITAEWON POCHA,Manhattan,WEST   32 STREET,10001.0
65865,"ROWLAND'S BAR AND GRILL, CHEF STREET",Manhattan,WEST   34 STREET,10001.0
89071,GOLDIE'S TAVERN,Manhattan,WEST   30 STREET,10001.0
5750,SWEETGREEN,Manhattan,WEST   30 STREET,10001.0
205159,CASA TOSCANA,Manhattan,BROADWAY,10001.0
7248,GAMMEEOK,Manhattan,WEST   32 STREET,10001.0
26307,CHOPT,Manhattan,West 31st st,10001.0
31770,ROOFTOP LOUNGE,Manhattan,W 28TH ST,10001.0
5962,SMASHBURGER,Manhattan,7 AVENUE,10001.0
1907,STARBUCKS,Manhattan,WEST   34 STREET,10001.0
86273,MCDONALD'S,Manhattan,6 AVENUE,10001.0
46687,MERCY MANHATTAN CAFE,Manhattan,WEST   34 STREET,10001.0
135407,GEORGE'S FOOD STAND,Manhattan,WEST   34 STREET,10001.0
11256,TWINS PUB,Manhattan,9 AVENUE,10001.0
5911,MILK BAR,Manhattan,BROADWAY,10001.0
1070,KRISPY RICE/ PROPER FOOD,Manhattan,WEST   33 STREET,10001.0
14742,IL PICCOLO RISTORO,Manhattan,WEST   28 STREET,10001.0
664,JAMBA JUICE,Manhattan,AMTRAK LEVEL,10001.0
134425,FAIRFIELD INN CHELSEA,Manhattan,WEST   28 STREET,10001.0
14784,KARAOKE WOW,Manhattan,WEST   32 STREET,10001.0
133911,CLAUDIO,Manhattan,7 AVENUE,10001.0
46359,CHICK-FILL-A,Manhattan,WEST   34 STREET,10001.0
21300,DUNKIN,Manhattan,BROADWAY,10001.0
132811,PELOTON,Manhattan,9 AVENUE,10001.0
76328,LENA,Manhattan,WEST   30 STREET,10001.0
1879,B AND B RESTAURANT,Manhattan,WEST   26 STREET,10001.0
52231,THE WEBSTER APARTMENTS,Manhattan,WEST   34 STREET,10001.0
87811,GREGORYS COFFEE,Manhattan,6 AVENUE,10001.0
205170,NAN XIANG XIAO LONG BAO,Manhattan,WEST   33 STREET,10001.0
10697,L'ADRESSE NOMAD,Manhattan,BROADWAY,10001.0
46199,FIVE GUYS FAMOUS BURGERS AND FRIES,Manhattan,WEST   34 STREET,10001.0
12699,TGI FRIDAY'S,Manhattan,WEST   34 STREET,10001.0
26348,CAFE NUNEZ,Manhattan,WEST   35 STREET,10001.0
66140,HUDSON YARDS TAVERN,Manhattan,9 AVENUE,10001.0
2718,FEROCE & THE FLEUR ROOM,Manhattan,WEST   28 STREET,10001.0
46289,"BURGER KING, CINNABON",Manhattan,BROADWAY,10001.0
7285,HAYMAKER BAR & KITCHEN,Manhattan,WEST   29 STREET,10001.0
12629,GARDEN GRILL & BAR,Manhattan,WEST   35 STREET,10001.0
2888,SHANGHAI MONG,Manhattan,WEST   32 STREET,10001.0
21027,SHUKETTE,Manhattan,9 AVENUE,10001.0
127243,SKIRT STEAK,Manhattan,AVENUE OF THE AMERICAS,10001.0
3036,AMERICA GOURMET FOOD,Manhattan,6 AVENUE,10001.0
488,SUNSCOOP,Manhattan,WEST   33 STREET,10001.0
5370,ILILI RESTAURANT,Manhattan,5 AVENUE,10001.0
44432,BIRCH COFFEE,Manhattan,WEST   33 STREET,10001.0
5334,10TH AVENUE PIZZA & CAFE,Manhattan,10TH AVE BET 24 & 25 ST ),10001.0
92304,"SALUMERIA BEILLESE, BIRICCHINO REST",Manhattan,8 AVENUE,10001.0
23972,MOLLY WEE PUB,Manhattan,8 AVENUE,10001.0
44261,FIT CAFETERIA (BUILDING A ) (8th ave),Manhattan,WEST   27 STREET,10001.0
92481,HELEN MILLS EVENT SPACE AND THEATER,Manhattan,WEST   26 STREET,10001.0
52723,SCEN,Manhattan,BROADWAY,10001.0
31323,BIAO SUGAR,Manhattan,BROADWAY,10001.0
1760,ABACKY POTLUCK,Manhattan,WEST   26 STREET,10001.0
7466,34th BAGELS AND MORE,Manhattan,WEST   34 STREET,10001.0
20533,5 BAR KARAOKE,Manhattan,WEST   32 STREET,10001.0
92920,VAN LEEUWEN ICE CREAM,Manhattan,HUDSON YARDS,10001.0
3122,GRUBBS TAKEAWAY,Manhattan,7 AVENUE,10001.0
212947,CAMP EXPERIENCE STORES,Manhattan,HUDSON YARDS,10001.0
5216,MARU,Manhattan,WEST   32 STREET,10001.0
3144,JONGRO BBQ,Manhattan,WEST   32 STREET,10001.0
20462,ERNST AND YOUNG,Manhattan,9 AVENUE,10001.0
1736,COSTAS,Manhattan,WEST   35 STREET,10001.0
123974,MUSES 35 BAR & KARAOKE,Manhattan,WEST   35 STREET,10001.0
15520,CROMPTON ALE HOUSE,Manhattan,WEST   26 STREET,10001.0
28603,STUMPTOWN COFFEE,Manhattan,WEST   29 STREET,10001.0
7488,JESSIE'S EXPRESS CAFE,Manhattan,8 AVENUE,10001.0
442,ALLORA,Manhattan,5 AVENUE,10001.0
15855,MISSION,Manhattan,WEST   28 STREET,10001.0
93016,STARBUCKS COFFEE # 65421,Manhattan,HUDSON YARDS,10001.0
24048,STARBUCKS,Manhattan,AVENUE OF THE AMERICAS,10001.0
212576,MAGNOLIA BAKERY,Manhattan,W 31 ST,10001.0
20479,TEAMAKERS,Manhattan,WEST   32 STREET,10001.0
165618,JACOB'S PICKLES MOYNIHAN STATION,Manhattan,8TH AVE,10001.0
75472,WARNERMEDIA CONFERENCE CENTER,Manhattan,HUDSON YARDS,10001.0
498,FIRST REPUBLIC BANK,Manhattan,WEST   34 STREET,10001.0
2939,CHIPOTLE MEXICAN GRILL,Manhattan,WEST   34 STREET,10001.0
65448,GOCHUJANG,Manhattan,WEST   32 STREET,10001.0
5531,LAVAN 541,Manhattan,WEST   25 STREET,10001.0
15303,KOBEYAKI,Manhattan,7 AVENUE,10001.0
35171,CHELTON'S BAR AND GRILL (DOUBLETREE BY HILTON),Manhattan,WEST   29 STREET,10001.0
12604,TURNTABLE LP BAR,Manhattan,WEST   32 STREET,10001.0
59041,MY COOKING PARTY,Manhattan,WEST   29 STREET,10001.0
89955,AYZA CAFE & WINE BAR,Manhattan,WEST   31 STREET,10001.0
29832,TACO BANDITO,Manhattan,8 AVENUE,10001.0
69108,NOONA NOODLES,Manhattan,WEST   32 STREET,10001.0
130094,ZOU ZOU'S,Manhattan,WEST   33 STREET,10001.0
28731,HANOK KOREA HOUSE,Manhattan,WEST   32 STREET,10001.0
56172,KAZUNORI,Manhattan,WEST   28 STREET,10001.0
26444,AMAZON CAFETERIA,Manhattan,WEST   33 STREET,10001.0
207859,BORSALIA,Manhattan,BROADWAY,10001.0
2628,4 BOY 99 CENT PIZZA,Manhattan,WEST   31 STREET,10001.0
44995,GLASS CEILING EVENTS,Manhattan,BROADWAY,10001.0
31479,"DUNKIN', BASKIN ROBBINS, SUBWAY",Manhattan,5 AVENUE,10001.0
15513,CAFE R,Manhattan,WEST   32 STREET,10001.0
9165,KOBEQUE,Manhattan,WEST   32 STREET,10001.0
52589,AMAZON NYC,Manhattan,WEST   34 STREET,10001.0
8361,ICHIRAN,Manhattan,WEST   31 STREET,10001.0
3010,CHIPOTLE MEXICAN GRILL,Manhattan,5 AVENUE,10001.0
91235,WALTER'S BAR,Manhattan,8 AVENUE,10001.0
44980,LEGENDS NYC,Manhattan,WEST   33 STREET,10001.0
35362,DEATH AVENUE BAR & GRIL,Manhattan,10 AVENUE,10001.0
90989,HUNGRY GHOST 2,Manhattan,HIGH LINE PK WEST 22ND ST,10001.0
28675,K32,Manhattan,WEST   32 STREET,10001.0
65401,FLIK INTERNATIONAL CORP.,Manhattan,HUDSON YARDS,10001.0
65414,COACH,Manhattan,HUDSON YARDS,10001.0
90875,CLUB LOUNGE,Manhattan,W 28TH ST,10001.0
7400,TURNTABLE CHICKEN & ROCK,Manhattan,5 AVENUE,10001.0
5439,FIVE IRON GOLF,Manhattan,AVENUE OF THE AMERICAS,10001.0
203288,NEW YORKER HOTEL KITCHEN,Manhattan,8 AVENUE,10001.0
34078,FAIRFIELD INN & SUITES,Manhattan,WEST   33 STREET,10001.0
21741,BLUESTONE LANE,Manhattan,WEST   31 STREET,10001.0
56723,CHIRP,Manhattan,WEST   34 STREET,10001.0
147628,INFES NYC,Manhattan,6 AVENUE,10001.0
11053,ARAMARK @ ACCENTURE #19261,Manhattan,9 AVENUE,10001.0
81805,THINK COFFEE,Manhattan,5 AVENUE,10001.0
25768,EQUINOX NYC ROOM SERVICE KITCHEN,Manhattan,HUDSON YARDS,10001.0
67808,ROSA'S PIZZA,Manhattan,7 AVENUE,10001.0
13813,HOTEL STANFORD,Manhattan,WEST   32 STREET,10001.0
33426,Jack’s Stir Brew Coffee,Manhattan,WEST   33 STREET,10001.0
48953,230 FIFTH,Manhattan,FIFTH AVENUE,10001.0
145897,LITTLE NED,Manhattan,BROADWAY,10001.0
992,MAMAN,Manhattan,WEST   34 STREET,10001.0
2059,7 GRAMS CAFFE,Manhattan,7 AVENUE,10001.0
23263,JOE & THE JUICE,Manhattan,BROADWAY,10001.0
23270,STARBUCKS,Manhattan,8 AVENUE,10001.0
82412,THE MAZE,Manhattan,WEST   32 STREET,10001.0
48799,SIDE BAR,Manhattan,HUDSON YARDS,10001.0
11006,TRACKS,Manhattan,WEST   31 STREET,10001.0
78296,THE HAROLD,Manhattan,BROADWAY,10001.0
13976,GREEN BLEND,Manhattan,8 AVENUE,10001.0
33548,ZAYTINYA,Manhattan,W 28TH ST,10001.0
196896,& PIZZA,Manhattan,WEST   28 STREET,10001.0
22274,SBARRO,Manhattan,WEST   33 STREET,10001.0
23310,PRET A MANGER,Manhattan,WEST   32 STREET,10001.0
81720,NICK & STEF'S STEAKHOUSE,Manhattan,PENN PLAZA,10001.0
6375,KASTELI MARKET,Manhattan,8 AVENUE,10001.0
48674,WARNER MEDIA (BISTRO 35),Manhattan,HUDSON YARDS,10001.0
6979,MARKET CRATES,Manhattan,WEST   33 STREET,10001.0
57332,DIG INN SEASONAL MARKET,Manhattan,BROADWAY,10001.0
56643,KAHLO,Manhattan,WEST   29 STREET,10001.0
997,H&H BAGELS,Manhattan,WEST   31 STREET,10001.0
48749,AVOCADERIA,Manhattan,11TH AVE,10001.0
8694,SHAKE SHACK,Manhattan,WEST   33 STREET,10001.0
49215,CITIZENS OF CHELSEA,Manhattan,WEST   25 STREET,10001.0
13736,Dunkin Donuts,Manhattan,9 AVENUE,10001.0
981,LAOHU KTOWN,Manhattan,BROADWAY,10001.0
22843,GARDENIA DELI,Manhattan,8 AVENUE,10001.0
13460,ANYTIME SOJU,Manhattan,WEST   32 STREET,10001.0
49952,CLOUD SOCIAL,Manhattan,WEST   32 STREET,10001.0
22904,SPACE BILLARD,Manhattan,WEST   32 STREET,10001.0
68298,JIAN BING MAN,Manhattan,WEST   32 STREET,10001.0
32629,PLANT BAR,Manhattan,BROADWAY,10001.0
2219,MADMAN ESPRESSO,Manhattan,WEST   35 STREET,10001.0
68154,VESUVIO BAKERY,Manhattan,8TH AVE,10001.0
32740,OUR VODKA,Manhattan,WEST   26 STREET,10001.0
6732,SUBWAY,Manhattan,WEST   34 STREET,10001.0
13404,VIN SUR VINGT,Manhattan,BROADWAY,10001.0
6793,JOHN SULLIVAN'S PUB,Manhattan,WEST   35 STREET,10001.0
68214,JOE COFFEE,Manhattan,HUDSON YARDS,10001.0
152040,CAVA MEZZE GRILL,Manhattan,7 AVENUE,10001.0
79453,KASTELI II,Manhattan,8 AVENUE,10001.0
48575,PIGGYBACK,Manhattan,WEST   30 STREET,10001.0
2221,DIM SUM PALACE,Manhattan,WEST   33 STREET,10001.0
6858,NATUROPATHICA CHELSEA,Manhattan,WEST   26 STREET,10001.0
6891,OSCAR WILDE'S,Manhattan,WEST   27 STREET,10001.0
49400,STARBUCKS,Manhattan,BROADWAY,10001.0
2290,PORTENO,Manhattan,10 AVENUE,10001.0
2284,CADA EMPANADA,Manhattan,WEST   28 STREET,10001.0
192424,INC,Manhattan,10 AVENUE,10001.0
13666,LEVY AT JAVITS CENTER- 3411 GARDEN MARKET/MARKETPLACE,Manhattan,WEST   34 STREET,10001.0
80398,BANQUET KITCHEN,Manhattan,WEST   33 STREET,10001.0
6890,IL BASTARDO,Manhattan,WEST   27 STREET,10001.0
6563,AMERICAN WHISKEY,Manhattan,WEST   30 STREET,10001.0
22638,"DUNKIN',' BASKIN ROBBINS",Manhattan,7 AVENUE,10001.0
13627,BOMBAY SANDWICH CO,Manhattan,WEST   27 STREET,10001.0
33047,WILLIAM GREENBERG JR DESSERTS,Manhattan,HUDSON YARDS,10001.0
973,BAGEL PUB,Manhattan,7 AVENUE,10001.0
79148,JACK DEMSEY'S PUB,Manhattan,WEST   33 STREET,10001.0
25808,RANDOM ACCESS,Manhattan,WEST   32 STREET,10001.0
24076,STARBUCKS,Manhattan,W 31ST ST,10001.0
8732,BEAN & BEAN,Manhattan,8 AVENUE,10001.0
8733,HANAMICHI,Manhattan,WEST   32 STREET,10001.0
84461,JUN-MEN RAMEN BAR,Manhattan,9 AVENUE,10001.0
77044,MK KARAOKE,Manhattan,WEST   32 STREET,10001.0
139118,La Noxe,Manhattan,7 AVENUE,10001.0
8824,LLAMA SPIRAL FL 66,Manhattan,Hudson Blvd E,10001.0
8480,J-FOOD NYC,Manhattan,WEST   28 STREET,10001.0
21914,BILLYMARKS WEST,Manhattan,9 AVENUE,10001.0
8833,POCHA 32,Manhattan,WEST   32 STREET,10001.0
29124,WILD INK,Manhattan,WEST   33 STREET,10001.0
47563,THE GASTRO BAR,Manhattan,WEST   35 STREET,10001.0
84812,SULLY'S CAFE,Manhattan,HUDSON YARDS,10001.0
14336,AFTERNOON,Manhattan,WEST   32 STREET,10001.0
66814,MCDONALD'S RESTAURANT,Manhattan,7 AVENUE,10001.0
47543,BROOKLYN BAGEL & COFFEE COMPANY,Manhattan,8 AVENUE,10001.0
202073,PENDRY MANHATTAN WEST,Manhattan,WEST   33 STREET,10001.0
33927,MY BELLY'S PLAYLIST,Manhattan,WEST   35 STREET,10001.0
6110,PENNSYLVANIA 6,Manhattan,WEST   31 STREET,10001.0
26213,THE HUDSON BAR ROOM,Manhattan,10 AVENUE,10001.0
5985,JOOMAK BANJUM,Manhattan,5 AVENUE,10001.0
10740,PEAK RESTAURANT,Manhattan,WEST   33 STREET,10001.0
12749,KRUSH,Manhattan,WEST   32 STREET,10001.0
58153,EMPEROR DUMPLING,Manhattan,6 AVENUE,10001.0
21771,MD SIDDIQUE,Manhattan,8 AVENUE,10001.0
68633,DUNKIN,Manhattan,WEST   35 STREET,10001.0
1950,THE LIBERTY,Manhattan,WEST   35 STREET,10001.0
85520,PELICANA CHICKEN,Manhattan,WEST   32 STREET,10001.0
6017,ELECTRIC LEMON,Manhattan,HUDSON YARDS,10001.0
14498,TURNTABLE CHICKEN JAZZ,Manhattan,WEST   33 STREET,10001.0
6066,CATRIA MODERN ITALIAN,Manhattan,WEST   34 STREET,10001.0
12758,PETER CALLAHAN CATERING,Manhattan,WEST   25 STREET,10001.0
47416,FEILE,Manhattan,WEST   33 STREET,10001.0
2570,JAKE'S,Manhattan,WEST   34 STREET,10001.0
10793,CAMBRIA HOTELS & SUITES NEW YORK-CHELSEA,Manhattan,WEST   28 STREET,10001.0
31912,NYC PIZZA BY PATINA,Manhattan,WEST   34 STREET,10001.0
21989,PINCH FOOD DESIGN,Manhattan,WEST   27 STREET,10001.0
158775,CREPE CAFE,Manhattan,6 AVENUE,10001.0
14128,PLAN B,Manhattan,WEST   32 STREET,10001.0
2443,HAMPTON INN EMPIRE STATE BUILDING,Manhattan,WEST   35 STREET,10001.0
2001,SWEETS LABORATORY BY HANAMIZUKI,Manhattan,WEST   29 STREET,10001.0
57589,DAVEY'S ICE CREAM,Manhattan,W 31ST ST,10001.0
23411,GRACE STREET,Manhattan,WEST   32 STREET,10001.0
23409,BARNEY BROWN,Manhattan,AVENUE OF THE AMERICAS,10001.0
10920,THE WILSON,Manhattan,WEST   27 STREET,10001.0
1014,PLAYA BOWLS FIT,Manhattan,7 AVENUE,10001.0
142890,POKEWORKS,Manhattan,WEST   34 STREET,10001.0
1013,MAGIC ROOM,Manhattan,BROADWAY,10001.0
6333,RESTAURANT ASSOCIATES LLC,Manhattan,9 AVENUE,10001.0
157334,STARBUCKS COFFEE #62547,Manhattan,WEST   31 STREET,10001.0
143541,THE NOMAD HOTEL,Manhattan,BROADWAY,10001.0
815,MAMAN,Manhattan,8TH AVE,10001.0
57553,SPACE KARAOKE,Manhattan,WEST   32 STREET,10001.0
13016,OAKBERRY,Manhattan,BROADWAY,10001.0
6266,"AUNTIE ANNE'S PRETZELS, CARVEL",Manhattan,WEST   34 STREET,10001.0
83887,SEOUL,Manhattan,WEST   32 STREET,10001.0
67031,GAGOPA KARAOKE,Manhattan,WEST   32 STREET,10001.0
7136,WHITMANS,Manhattan,WEST   30 STREET,10001.0
769,RENAISSANCE NEW YORK CHELSEA,Manhattan,WEST   25 STREET,10001.0
8496,GOLDEN CITY CHINESE RESTAURANT,Manhattan,9 AVENUE,10001.0
22037,THE SMITH,Manhattan,BROADWAY,10001.0
200199,NAYA,Manhattan,WEST   33 STREET,10001.0
83871,FASHION INSTITUTE OF TECHNOLOGY DAVID DUBINSKY STUDENT CENTER,Manhattan,WEST   27 STREET,10001.0
777,HAKATA TONTON,Manhattan,WEST   35 STREET,10001.0
51381,PLAYWRIGHT IRISH PUB,Manhattan,WEST   35 STREET,10001.0
51326,TABOO,Manhattan,8 AVENUE,10001.0
57635,FIVE GUYS FAMOUS BURGERS AND FRIES,Manhattan,7 AVENUE,10001.0
7111,CUTLETS SANDWICH CO,Manhattan,WEST   35 STREET,10001.0
48106,DON PEPIS DELICATESSEN,Manhattan,AMTRAK LEVEL,10001.0
2468,MCDONALD'S RESTAURANT,Manhattan,WEST   34 STREET,10001.0
33755,JUNIPER,Manhattan,WEST   35 STREET,10001.0
20431,ABIKO CURRY,Manhattan,WEST   32 STREET,10001.0
10429,MANHATTAN CENTER,Manhattan,WEST   34 STREET,10001.0
63198,KYMA,Manhattan,WEST   35 STREET,10001.0
10115,MAGGIE REILLY'S,Manhattan,9 AVENUE,10001.0
41315,KILOGRAM COFFEE,Manhattan,WEST   29 STREET,10001.0
4611,BB.Q CHICKEN,Manhattan,WEST   32 STREET,10001.0
172236,KOHLBERG KRAVIS ROBERTS EMPLOYEE CAFETERIA,Manhattan,HUDSON YARDS,10001.0
7973,GAONNURI,Manhattan,BROADWAY,10001.0
7728,CHOP-SHOP,Manhattan,10 AVENUE,10001.0
41198,DIG INN,Manhattan,7 AVENUE,10001.0
39714,STOUT,Manhattan,WEST   33 STREET,10001.0
10072,THE KUNJIP,Manhattan,WEST   32 STREET,10001.0
4592,GREGORYS COFFEE,Manhattan,7 AVENUE,10001.0
109767,BURGER JOINT,Manhattan,W 31 ST,10001.0
20427,ANYTIME KARAOKE,Manhattan,WEST   32 STREET,10001.0
37342,THINK COFFEE,Manhattan,WEST   30 STREET,10001.0
17091,CAFE FOOD HALL,Manhattan,WEST   34 STREET,10001.0
113790,KFC,Manhattan,8 AVENUE,10001.0
3646,KUSHI KUSHI YAKI,Manhattan,WEST   32 STREET,10001.0
4577,THE LITTLE BEET,Manhattan,BROADWAY,10001.0
4198,GYPSY ROSE BISTRO,Manhattan,WEST   26 STREET,10001.0
53858,BEST BAGEL & COFFEE,Manhattan,WEST   35 STREET,10001.0
201,Nangman BBQ,Manhattan,6 AVENUE,10001.0
101399,PINKBERRY,Manhattan,WEST   32 STREET,10001.0
113334,ANGRY LOBSTER ROLL,Manhattan,10 AVENUE,10001.0
113320,FLIK @ HOLY NAME PROVINCE,Manhattan,WEST   31 STREET,10001.0
63040,NAYA,Manhattan,WEST   31 STREET,10001.0
7751,FOOD FOR THOUGHT CATERED EVENTS,Manhattan,WEST   25 STREET,10001.0
7966,DUNKIN,Manhattan,WEST   33 STREET,10001.0
113302,ZEROSPACE,Manhattan,7 AVENUE,10001.0
17025,SANDBAR ROOFTOP,Manhattan,WEST   26 STREET,10001.0
3676,SMITHFIELD HALL,Manhattan,WEST   25 STREET,10001.0
100707,MEW,Manhattan,WEST   35 STREET,10001.0
3584,GRAND SICHUAN,Manhattan,9 AVENUE,10001.0
53638,SUBWAY,Manhattan,10 AVENUE,10001.0
27758,KING'S STREET COFFEE,Manhattan,WEST   30 STREET,10001.0
41722,BASE KARAOKE,Manhattan,WEST   32 STREET,10001.0
19458,LADY M CONFECTIONS,Manhattan,BROADWAY,10001.0
55278,PLANTA QUEEN,Manhattan,WEST   27 STREET,10001.0
269,BARNJOO,Manhattan,6 AVENUE,10001.0
9427,GONG CHA,Manhattan,WEST   32 STREET,10001.0
19445,MAMA,Manhattan,WEST   32 STREET,10001.0
37064,HIGHLINE PIZZERIA,Manhattan,WEST   28 STREET,10001.0
27059,The Celtic Rail NYC,Manhattan,WEST   33 STREET,10001.0
63690,JUST SALAD,Manhattan,7 AVENUE,10001.0
24319,THE SPOT KARAOKE LOUNGE,Manhattan,WEST   32 STREET,10001.0
60507,THE RAMBLE CAFE,Manhattan,HUDSON YARDS,10001.0
12217,PARIS BAGUETTE,Manhattan,WEST   32 STREET,10001.0
60527,WALDY'S WOOD FIRED PIZZA & PENNE,Manhattan,6 AVENUE,10001.0
115731,FRESH & CO,Manhattan,10 AVENUE,10001.0
4706,SWEET CHURROS,Manhattan,WEST   32 STREET,10001.0
4700,WOORIJIP,Manhattan,WEST   32 STREET,10001.0
18420,FUKU,Manhattan,HUDSON YARDS,10001.0
16939,AMC THEATRES,Manhattan,WEST   34 STREET,10001.0
70911,HEY YUET,Manhattan,WEST   26 STREET,10001.0
249,DUNKIN,Manhattan,WEST   34 STREET,10001.0
16948,PARIS BAGUETTE,Manhattan,7 AVENUE,10001.0
55525,MADE HOTEL,Manhattan,WEST   29 STREET,10001.0
1606,THE TRIPLE CROWN,Manhattan,7 AVENUE,10001.0
41407,BRAVO PIZZA,Manhattan,7 AVENUE,10001.0
71601,BARN JOO 35,Manhattan,WEST   35 STREET,10001.0
38422,FRIEDMAN'S,Manhattan,WEST   31 STREET,10001.0
110224,THE EAGLE,Manhattan,WEST   28 STREET,10001.0
4534,MIZNON,Manhattan,HUDSON YARDS,10001.0
113176,KATSUYA/S BAR,Manhattan,WEST   33 STREET,10001.0
156,DEATH AVENUE: TAP ROOM,Manhattan,10TH AVE,10001.0
102558,PLNT BURGER,Manhattan,BROADWAY,10001.0
1510,THE CLUB,Manhattan,BROADWAY,10001.0
25122,STARBUCKS,Manhattan,WEST   27 STREET,10001.0
112009,STARBUCKS COFFEE #49952,Manhattan,WEST   33 STREET,10001.0
7923,NEW DYNASTY,Manhattan,8 AVENUE,10001.0
18907,HILTON GARDEN INN CHELSEA,Manhattan,WEST   28 STREET,10001.0
40461,DUNKIN,Manhattan,9 AVENUE,10001.0
61323,BLACK SEED BAGEL,Manhattan,BROADWAY,10001.0
9973,B&W DELI GROCERY,Manhattan,west 34th st,10001.0
37829,"BARCELONA, JAMON & QUESO, FRUTAS & VERDURAS, BOCATAS & EMPANADAS",Manhattan,WEST   30 STREET,10001.0
137,KOSSAR'S,Manhattan,11 AVENUE,10001.0
111223,Courtyard by Marriott Manhattan Chelsea,Manhattan,WEST   30 STREET,10001.0
25082,Chelsea Table and Stage,Manhattan,WEST   26 STREET,10001.0
3806,ANTOYA,Manhattan,WEST   32 STREET,10001.0
7883,MUI KITCHEN & BAR,Manhattan,WEST   32 STREET,10001.0
103146,ANA BAR AND EATERY,Manhattan,HUDSON YARDS,10001.0
103153,ROLL & KATSU KITCHEN,Manhattan,WEST   32 STREET,10001.0
17763,STICKY'S FINGER JOINT,Manhattan,7 AVENUE,10001.0
4352,OCABANON,Manhattan,WEST   29 STREET,10001.0
103893,HUDSON YARDS GRILL,Manhattan,HUDSON YARDS,10001.0
7894,CHELSEA DELI,Manhattan,10 AVENUE,10001.0
24689,PORCHLIGHT,Manhattan,11TH AVE,10001.0
17618,BOTTINO,Manhattan,10 AVENUE,10001.0
27390,MUSTANG HARRY'S,Manhattan,SEVENTH AVENUE,10001.0
18682,STARBUCKS,Manhattan,7 AVENUE,10001.0
110657,MARKET CRATES,Manhattan,WEST   35 STREET,10001.0
54290,BLUE BOTTLE COFFEE,Manhattan,8TH AVE,10001.0
105410,TASTE NY BISTRO,Manhattan,WEST   34 STREET,10001.0
12046,PIZZA CAFE,Manhattan,BROADWAY,10001.0
24772,TIPSY SHANGHAI,Manhattan,7 AVENUE,10001.0
17180,Popeyes Louisiana Kitchen,Manhattan,7 AVENUE,10001.0
4513,SUBWAY,Manhattan,WEST   26 STREET,10001.0
40915,PANERA BREAD,Manhattan,5 AVENUE,10001.0
9896,RADIO STAR,Manhattan,WEST   35 STREET,10001.0
112927,"HYATT HOUSE NEW YORK, CHELSEA",Manhattan,AVENUE OF THE AMERICAS,10001.0
71755,"SPANISH DINER, CHURROS, BAR MANOLO",Manhattan,WEST   30 STREET,10001.0
37596,TOUS LES JOURS,Manhattan,WEST   32 STREET,10001.0
9550,HYATT HERALD SQUARE,Manhattan,WEST   31 STREET,10001.0
11565,PANDA EXPRESS,Manhattan,8 AVENUE,10001.0
62486,"COMPASS GROUP USA, INC. @ WELLS FARGO",Manhattan,HUDSON YARDS,10001.0
61652,COFFEE 39,Manhattan,WEST   31 STREET,10001.0
3721,AMTRAK METROPOLITAN LOUNGE/MOYNIHAN TRAIN HALL,Manhattan,8 AVENUE,10001.0
112731,SKYLIGHT DINER,Manhattan,WEST   34 STREET,10001.0
16771,"MISS KOREA BARBECUE ""SUN""",Manhattan,WEST   32 STREET,10001.0
