,the_geom,NAME
15037,POINT (-73.88785854661982 40.83485259427784),E 173 STREET VYSE AVE HOUSES BUILDING 6
15038,POINT (-73.88735388704043 40.834894080647196),E 173 STREET VYSE AVE HOUSES BUILDING 7
8036,POINT (-73.89260063185026 40.85054376218108),E 180 ST MONTEREY AVE HOUSES
15043,POINT (-73.89226986462235 40.8507374512335),E 180 ST MONTEREY AVE HOUSES BUILDING 1
15882,POINT (-73.89311788490313 40.85091988197171),E 180 ST MONTEREY AVE HOUSES BUILDING 2
3185,POINT (-73.87269033767627 40.841687369305546),E 180 ST MORRIS PARK SUBSTATION
623,POINT (-73.86321647936707 40.89551928972444),E 233 ST OV EN RD TO BX RIV PKW
18844,POINT (-73.97092948492715 40.74405758118287),E 34 ST MIDTOWN EAST FERRY LANDING
952,POINT (-73.9813829204758 40.74707107756021),E 34 ST OVER PARK AVENUE TUNNEL
900,POINT (-73.9614726369321 40.76024520125435),E 60 ST FROM QUEENS OV 1 AV
752,POINT (-73.96905378348801 40.67112069812193),E DR OV PED PTH NR GRAND ARMY PZ
243,POINT (-73.96888794020113 40.7744876500504),E DRV OVER PD PATH OPP E   73 ST
235,POINT (-73.97284405946236 40.76663485036684),E DRV OVR PED PATH OPP E   62 ST
240,POINT (-73.97128898949343 40.770125930275064),E DRV OVR PED PATH OPP E   67 ST
250,POINT (-73.96554617946265 40.77906562982379),E DRV OVR PED PATH OPP E   80 ST
3257,POINT (-73.89034421398834 40.67356782801432),E END BAPTIST CHURCH
592,POINT (-73.87678100757914 40.85548271859814),E FORDHAM ROAD OVER BRONX RIVER
615,POINT (-73.89718359934207 40.86243562970256),E FORDHAM ROAD OVR GRAND CNCRSE
2073,POINT (-73.95540856699242 40.62230462244772),E MIDWOOD JEWISH CTR
4266,POINT (-73.90072934849479 40.679234533259155),E NEW YORK YARD SHOP
14667,POINT (-73.87402565135167 40.66729089690599),E NY CITY LINE HOUSES BLDG 1
14660,POINT (-73.87466429838038 40.671568939824816),E NY CITY LINE HOUSES BLDG 11
14661,POINT (-73.8746656625654 40.671513313469696),E NY CITY LINE HOUSES BLDG 12
14662,POINT (-73.87465065175812 40.67145766910654),E NY CITY LINE HOUSES BLDG 13
14663,POINT (-73.87464193516774 40.671403949795184),E NY CITY LINE HOUSES BLDG 14
14664,POINT (-73.87462944259727 40.67134830833991),E NY CITY LINE HOUSES BLDG 15
14665,POINT (-73.87462951290718 40.671310903767946),E NY CITY LINE HOUSES BLDG 16
14666,POINT (-73.87462583176645 40.67125910796975),E NY CITY LINE HOUSES BLDG 17
14668,POINT (-73.8738398454284 40.66735845974287),E NY CITY LINE HOUSES BLDG 4
4267,POINT (-73.9096717886543 40.81243645242321),E ROBERTS MOORE SENIOR CENTER
603,POINT (-73.87840800911152 40.84002473961094),E TERMONT AVE OVER BRONX RIVER
492,POINT (-73.83842804955871 40.84068108038351),E TREMONT AVE OV HUTCH RIV PKWY
575,POINT (-73.89946688329263 40.84736511044918),E TREMONT AVENUE OV METRO N HRLM
13069,POINT (-73.89945640410319 40.847246067063),E TREMONT CONRAIL STATION
11407,POINT (-73.83161393699777 40.7074723030914),E. SHOLOM DAY CARE
526,POINT (-73.91251014052644 40.814118769873254),E149 JCKSN AV OVR CSX PT MORRS
265,POINT (-73.96990029968845 40.7488094401831),E42 TO E47 OV 1 AVE TNNL
5273,POINT (-73.93475392428874 40.80717248500324),EACH ONE TEACH ONE PLAYGROUND
6308,POINT (-73.88442698940737 40.83647215722369),EAE J MITCHELL PARK
14182,POINT (-73.89720346628947 40.84518670878976),EAGLE ACADEMY FOR YOUNG MEN
14241,POINT (-73.91535063649567 40.678031886599925),EAGLE ACADEMY FOR YOUNG MEN II
14562,POINT (-73.77854883374924 40.69149627852234),EAGLE ACADEMY FOR YOUNG MEN III
15782,POINT (-73.94730811939752 40.817431857884216),EAGLE ACADEMY FOR YOUNG MEN OF HARLEM
16241,POINT (-74.08125466621334 40.62067155158305),EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND
607,POINT (-73.90843199964384 40.822166150208666),EAGLE AVENUE OVER EAST  161 ST
7837,POINT (-73.90838718584874 40.82301070688038),EAGLE AVENUE-EAST 163RD STREET
11611,POINT (-73.91148418216977 40.81578398564044),EAGLE SLOPE GARDEN GRANJA FARM
20505,POINT (-73.82725674098108 40.84546213191761),EARL MONROE NEW RENAISSANCE BASKETBALL CHARTER SCHOOL
12433,POINT (-73.94475667909589 40.67918092947888),EARLY CHILDHOOD CENTER HERKIMER ST
4462,POINT (-74.005352045804 40.72995990857219),EARLY CHILDHOOD RESOURCE AND INFORMATION CENTER
4119,POINT (-73.9550633646563 40.7145379161644),EARLY INTERVENTION CENTER OF BKOOLYN
6261,POINT (-73.96187123995047 40.772631764723066),EARLY LEARNING CENTER OF TEMPLE ISRAEL
3302,POINT (-73.89928354057848 40.82061481294108),EARLY LIFE CENTER SOUTH BRONX
9947,POINT (-73.93960148270892 40.82337627941471),EARLY LIFE CENTER W 147TH ST
6022,POINT (-73.94869378588788 40.82545891838133),EARLY LIFE CHILDRENS CENTER W 145 ST
3536,POINT (-73.93888699261096 40.688576798458456),EARLY LIFE DAYCARE MARCUS GARVEY BLVD
3339,POINT (-73.77487019816216 40.71461820622229),EARLY SUNRISE PRESCHOOL & KINDERGARTEN
2781,POINT (-73.97896095768954 40.72507530521559),EARTH PEOPLE COMMUNITY GARDEN
13985,POINT (-73.9811646887475 40.7240599276769),EARTH SCHOOL
5764,POINT (-73.95942780489173 40.71255038469134),EARTH SPIRIT GARDEN
813,POINT (-73.97441486921457 40.62760539996799),EAST    3 ST OVER LIRR BAY RIDGE
143,POINT (-73.97465434848654 40.72125569962278),EAST    6 ST PED BR OVER FDR DRV
809,POINT (-73.96303753326525 40.62892701080902),EAST   14 ST OVER LIRR BAY RIDGE
195,POINT (-73.9586508194836 40.75903627036983),EAST   60 ST OVER FDR DRIVE
950,POINT (-73.94662004919692 40.77156792456411),EAST   81 ST PED BR OVER FDR DRV
224,POINT (-73.95205544977 40.787269199997276),EAST   97 ST OVER METRO N RAILRD
532,POINT (-73.90301425968985 40.808717290684136),EAST  149 ST OVER AMTRAK AND CSX
564,POINT (-73.91856835417128 40.82353073990046),EAST  158 ST OVER METRO N HARLEM
565,POINT (-73.91641322950021 40.82493854038167),EAST  161 ST OVER METRO N HARLEM
566,POINT (-73.91525234023615 40.82561697047184),EAST  162 ST OVER METRO N HARLEM
567,POINT (-73.91206448488869 40.82786284724344),EAST  165 ST OVER METRO N HARLEM
568,POINT (-73.90930908002017 40.830341529707994),EAST  167 ST OVER METRO N HARLEM
569,POINT (-73.90836156988038 40.831911050551334),EAST  168 ST OVER METRO N HARLEM
570,POINT (-73.90743015000054 40.833467589852795),EAST  169 ST OVER METRO N HARLEM
571,POINT (-73.90609657986536 40.835842419795675),EAST  170 ST OVER METRO N HARLEM
573,POINT (-73.90220000028437 40.842596630103756),EAST  173 ST OVER METRO N HARLEM
574,POINT (-73.90068072979686 40.84518694966817),EAST  175 ST OVER METRO N HARLEM
543,POINT (-73.87537910005294 40.83762046059391),EAST  177 ST OVER AMTRAK
577,POINT (-73.8978829397582 40.850116119593544),EAST  179 PED BR OV METRO N HRLM
578,POINT (-73.89687043063074 40.851846969934904),EAST  180 PED BR OV METRO N HRLM
619,POINT (-73.87705874939415 40.84233927685704),EAST  180 ST OVER BRONX RIVER
579,POINT (-73.89456457909652 40.85579804037602),EAST  183 PED BR OV METRO N HRLM
581,POINT (-73.89283331937233 40.858313800357784),EAST  187 PED BR OV METRO N HRLM
580,POINT (-73.89200743022913 40.859331740202165),EAST  188 PED BR OV METRO N HRLM
582,POINT (-73.89143128056688 40.860080080347956),EAST  189 PED BR OV METRO N HRLM
622,POINT (-73.86230286970178 40.894961590190434),EAST  233 ST OVER BRONX RIVER
585,POINT (-73.86280874982114 40.895091120338236),EAST  233 ST OVER METRO N HARLEM
192,POINT (-73.9390646723495 40.78633802968202),EAST 103 ST PED BRDG OVER FDR DR
2719,POINT (-73.93696249251477 40.78920060900722),EAST 107 ST RECREATIONAL PIER
905,POINT (-73.93525977159588 40.79185979822381),EAST 111 ST PED BRDG OVER FDR DR
193,POINT (-73.92929637316843 40.79699996654381),EAST 120 ST PED BRDG OVER FDR DR
3153,POINT (-73.88888956843863 40.824981227729424),EAST 165 ST-BRYANT AVENUE HOUSES
12373,POINT (-73.88850118271257 40.83383627226246),EAST 173 ST-VYSE AVENUE HOUSES
576,POINT (-73.89863454945373 40.84872971006523),EAST 178 PED BR OV METRO N HRLM
186,POINT (-73.97467227012821 40.73706605321987),EAST 25 ST PED BRDGE OVER FDR DR
6567,POINT (-73.97209653608597 40.74237503323899),EAST 34 ST HELIPORT
19179,POINT (-73.93451785256698 40.628527362560355),EAST 43 STREET COMMUNITY GARDEN
187,POINT (-73.96338119976281 40.753508734087596),EAST 51 ST PED BRDGE OVER FDR DR
188,POINT (-73.95583903638837 40.76107411042474),EAST 64 ST PED BRDGE OVER FDR DR
189,POINT (-73.95198707143001 40.765262366786935),EAST 71 ST PED BRDGE OVER FDR DR
190,POINT (-73.94831284914379 40.7695425260006),EAST 78 ST PED BRDGE OVER FDR DR
19849,POINT (-73.94242851617926 40.777331228799206),EAST 90 STREET FERRY LANDING
8223,POINT (-73.98607070544918 40.547337245915955),EAST BANK
3989,POINT (-73.92271263961248 40.71606249290311),EAST BRANCH
3785,POINT (-73.81498531942252 40.60103246402304),EAST BROAD CHANNEL
5516,POINT (-73.88770291113316 40.83691695219397),EAST BRONX ACADEMY FOR THE FUTURE SCHOOL
7848,POINT (-73.88161037914631 40.82586583770188),EAST BRONX NAACP DAY CARE CENTER
19033,POINT (-73.8669839254108 40.68115493392156),EAST BROOKLYN ASCEND LOWER CHARTER SCHOOL
14541,POINT (-73.9204748907861 40.659911423854986),EAST BROOKLYN COMMUNITY HIGH SCHOOL
7258,POINT (-73.94847814614342 40.798520778903494),EAST CALVARY DAY CARE CENTER
11257,POINT (-73.90458049658854 40.84872625932672),EAST CONCOURSE NEIGHBORHOOD SENIOR CENTER
767,POINT (-73.9651110059378 40.66223148473254),EAST DRIVE OV PED PTH CENTER DR
259,POINT (-73.95566862970924 40.79583993032837),EAST DRIVE OVER THE LOCH
15833,POINT (-73.87202294331965 40.76178619961956),EAST ELMHURST COMMUNITY SCHOOL
10483,POINT (-73.87388477246927 40.76248175023585),EAST ELMHURST LIBRARY
3212,POINT (-73.87809312396415 40.76413855791875),EAST ELMHURST POST OFFICE
11704,POINT (-73.89077907989203 40.67377634417702),EAST END COMMUNITY GARDEN
9386,POINT (-73.98387448465321 40.73462459409339),EAST END TEMPLE
19035,POINT (-73.93947013376746 40.652565559179145),EAST FLATBUSH ASCEND LOWER SCHOOL
12392,POINT (-73.92692759753623 40.663287056482055),EAST FLATBUSH CHILDRENS  PLAYGROUND
14467,POINT (-73.92855694026738 40.658711109311554),EAST FLATBUSH COMMUNITY RESEARCH SCHOOL
2630,POINT (-73.91497897811028 40.65577218222656),EAST FLATBUSH LIBRARY
8092,POINT (-73.78427026371516 40.757580097174106),EAST FLUSHING LIBRARY
678,POINT (-74.10798903032014 40.618082480311145),EAST FOOTBRIDGE OVER CLOVE LAKE
12315,POINT (-73.94382420676769 40.79152091214583),EAST HARLEM BLOCK NURSERY #1
16312,POINT (-73.93256019988634 40.79840052849755),EAST HARLEM MULTI SERVICE CENTER
13979,POINT (-73.9487498625176 40.793661474076906),EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL
15780,POINT (-73.94858120448293 40.79385858379647),EAST HARLEM SCHOLARS ACADEMY CHARTER SCHOOL II
19266,POINT (-73.9458371826399 40.78333772119032),EAST HARLEM SCHOLARS ACADEMY HIGH SCHOOL
19265,POINT (-73.94253094772701 40.79003300617309),EAST HARLEM SCHOLARS ACADEMY MIDDLE SCHOOL
16020,POINT (-73.8435197883189 40.86029985729633),EAST HAVEN NURSING AND REHAB
6341,POINT (-73.80286017717141 40.623695747245534),EAST HIGH MEADOW ISLAND
16461,POINT (-73.95493089340034 40.62245670777374),EAST MIDWOOD HEBREW DAY SCHOOL
4841,POINT (-73.90497608644165 40.61357964179327),EAST MILL BASIN
3551,POINT (-73.86881617213609 40.68613522760339),EAST NEW YORK BAPTIST CHURCH
7673,POINT (-73.87372000150461 40.667258431419285),EAST NEW YORK CITY LINE COMPLEX
6413,POINT (-73.87933477307286 40.66960606989319),EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE
19103,POINT (-73.89606519062174 40.67389650836335),EAST NEW YORK FAMILY ACADEMY
14436,POINT (-73.87930214548267 40.66954060508142),EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE
8005,POINT (-73.89653547702491 40.676032182470195),EAST NEW YORK POST OFFICE
14675,POINT (-73.87355049546088 40.66854571560847),EAST NYC LINE BUILDING 18
14676,POINT (-73.87351435041803 40.66849363545746),EAST NYC LINE BUILDING 19
14677,POINT (-73.87346473134785 40.66844784790718),EAST NYC LINE BUILDING 20
14678,POINT (-73.87345447287252 40.66839658442596),EAST NYC LINE BUILDING 21
14679,POINT (-73.87341108661204 40.66834055367025),EAST NYC LINE BUILDING 22
14680,POINT (-73.87335525299231 40.66829554745283),EAST NYC LINE BUILDING 23
14681,POINT (-73.87267420366689 40.66735162280703),EAST NYC LINE BUILDING 24
14682,POINT (-73.87260945536303 40.66727585573445),EAST NYC LINE BUILDING 26
14683,POINT (-73.87257639945213 40.66723376622254),EAST NYC LINE BUILDING 27
14673,POINT (-73.87324079290406 40.66742464979321),EAST NYC LINE BUILDING 28
14674,POINT (-73.87320682384141 40.6673886135877),EAST NYC LINE BUILDING 29
14669,POINT (-73.8735931994882 40.667186099612344),EAST NYC LINE BUILDING 30
14670,POINT (-73.87356300776426 40.66713461704798),EAST NYC LINE BUILDING 31
14671,POINT (-73.87353830144893 40.6670777839621),EAST NYC LINE BUILDING 32
14672,POINT (-73.87351974079259 40.667016294817955),EAST NYC LINE BUILDING 33
4709,POINT (-73.82468180325915 40.632926921105906),EAST POND
15514,POINT (-73.88301526256825 40.80154966176425),EAST RIV
4821,POINT (-73.90905415032849 40.79382543745854),EAST RIVER
4122,POINT (-73.97900825510334 40.71399779659572),EAST RIVER CHILD DEVELOPMENT CENTER 570 GRAND
4358,POINT (-73.97928399700366 40.713423386090426),EAST RIVER CHILD DEVELOPMENT CENTER 577 GRAND
15172,POINT (-73.94042382503808 40.787782508963154),EAST RIVER COMMUNITY CENTER
1821,POINT (-73.92906998457514 40.80106155487893),EAST RIVER ESPLANADE AT E 125 STREET
6722,POINT (-73.97045342473074 40.74497809749713),EAST RIVER ESPLANADE AT E 37 STREET
13784,POINT (-73.94205576824226 40.78911113333936),EAST RIVER FAMILY CENTER
13588,POINT (-73.93395465977372 40.78471264475814),EAST RIVER FIELDS
13584,POINT (-73.9323078405346 40.78346833500895),EAST RIVER FIELDS SOCCER 80
13585,POINT (-73.93320854611066 40.78366974317408),EAST RIVER FIELDS SOCCER 81
13586,POINT (-73.93397872573397 40.78402760858386),EAST RIVER FIELDS SOCCER 82
13587,POINT (-73.9348897912807 40.78442952892016),EAST RIVER FIELDS SOCCER 83
13589,POINT (-73.93416702095438 40.78547006209538),EAST RIVER FIELDS SOCCER 84
2453,POINT (-73.94010288691995 40.78757788799096),EAST RIVER HOUSES
9991,POINT (-73.94048002809545 40.7884059156498),EAST RIVER HOUSES BUILDING 1
4962,POINT (-73.94011125742435 40.7866305938701),EAST RIVER HOUSES BUILDING 10
6877,POINT (-73.94114858153722 40.787591195815246),EAST RIVER HOUSES BUILDING 2
14486,POINT (-73.94083386681568 40.78799311106669),EAST RIVER HOUSES BUILDING 3
3259,POINT (-73.93954552177017 40.78826114131542),EAST RIVER HOUSES BUILDING 4
1719,POINT (-73.93904186072967 40.78807499074201),EAST RIVER HOUSES BUILDING 5
9073,POINT (-73.94129217261136 40.787125616820106),EAST RIVER HOUSES BUILDING 6
6356,POINT (-73.9405309920613 40.78739427573674),EAST RIVER HOUSES BUILDING 7
10771,POINT (-73.93937539468192 40.787657130158195),EAST RIVER HOUSES BUILDING 8
7939,POINT (-73.93857117547502 40.787805545092844),EAST RIVER HOUSES BUILDING 9
15173,POINT (-73.94056698689093 40.78662094697267),EAST RIVER HOUSES GARAGE
13106,POINT (-73.9784671881214 40.713779301504545),EAST RIVER HOUSING
1593,POINT (-73.9106666394785 40.79180561102138),EAST RIVER MAIN CHANNEL BUOY 13
4248,POINT (-73.89594485462442 40.80234695864555),EAST RIVER MAIN CHANNEL BUOY 7
1543,POINT (-73.90633325503073 40.79435544477551),EAST RIVER MAIN CHANNEL BUOY ER
5855,POINT (-73.85139764309798 40.79847537086415),EAST RIVER MAIN CHANNEL GONG BUOY 3
1402,POINT (-73.96805510904592 40.72301905724412),EAST RIVER MAIN CHANNEL LIGHTED BUOY 18
11205,POINT (-73.86580650754703 40.796408579953926),EAST RIVER MAIN CHANNEL LIGHTED BUOY 5
5854,POINT (-73.87015131350125 40.798905641903225),EAST RIVER MAIN CHANNEL LIGHTED BUOY 6
1256,POINT (-73.97781379873683 40.71110983041802),EAST RIVER PARK AMPHITHEATER
11845,POINT (-73.97695839124198 40.71226391833321),EAST RIVER PARK AT CHERRY STREET
10745,POINT (-73.97541688308016 40.715434568094445),EAST RIVER PARK AT DELANCEY STREET
7325,POINT (-73.97297964267078 40.723339427026445),EAST RIVER PARK AT E 10 STREET
10746,POINT (-73.97192094741344 40.725790967938536),EAST RIVER PARK AT E 13 STREET
2716,POINT (-73.97405290279028 40.72150960024003),EAST RIVER PARK AT E 6 STREET
10744,POINT (-73.98022144289203 40.710563814582116),EAST RIVER PARK AT JACKSON STREET
11572,POINT (-73.97260509251517 40.72421526154605),EAST RIVER PARK PLAYGROUND
18755,POINT (-73.97362203235025 40.721684542178004),EAST RIVER PARK RUNNING TRACK
1179,POINT (-73.93818807621855 40.789351178023175),EAST RIVER PLAYGROUND
17794,POINT (-73.93159416256636 40.79555501186746),EAST RIVER PLAZA SHOPPING MALL
3528,POINT (-73.94053369353428 40.788053010169264),EAST RIVER SENIOR CENTER
15617,POINT (-73.96170242257567 40.7213051223412),EAST RIVER STATE PARK
968,POINT (-73.96855711630701 40.74250026008419),EAST RIVER TUNNEL LINE 1
967,POINT (-73.96858068108689 40.7423513538995),EAST RIVER TUNNEL LINE 2
966,POINT (-73.96859250123413 40.74219648844213),EAST RIVER TUNNEL LINE 3
965,POINT (-73.9686785642976 40.742038903302294),EAST RIVER TUNNEL LINE 4
15618,POINT (-73.95198717335197 40.76497794293548),EAST RIVER WALK
4835,POINT (-73.75686964953098 40.58622194838329),EAST ROCKAWAY INLET
3459,POINT (-73.75496608252357 40.58234352692444),EAST ROCKAWAY INLET BREAKWATER LIGHT
5824,POINT (-73.75113667049386 40.589345955444024),EAST ROCKAWAY INLET BUOY 10
8676,POINT (-73.74673803339822 40.5920184785838),EAST ROCKAWAY INLET BUOY 12
3706,POINT (-73.75506412042293 40.587790478363054),EAST ROCKAWAY INLET BUOY 7
11191,POINT (-73.75467420572322 40.58724247010777),EAST ROCKAWAY INLET BUOY 8
11356,POINT (-73.76361434386435 40.57138726224044),EAST ROCKAWAY INLET LIGHTED BELL BUOY ER
8703,POINT (-73.75167888611982 40.58988165183039),EAST ROCKAWAY INLET LIGHTED BUOY 9
2391,POINT (-73.9824016862991 40.72926381989281),EAST SIDE COMMUNITY HIGH SCHOOL
4673,POINT (-73.91859804064941 40.805881564566675),EAST SIDE HOUSE SETTLEMENT HEAD START MILL BROOK CENTER
6276,POINT (-73.92124479505583 40.812859997293586),EAST SIDE HOUSE SETTLEMENT MOTT HAVEN COMMUNITY CENTER
10917,POINT (-73.94763481616704 40.78049768261602),EAST SIDE MIDDLE SCHOOL
19617,POINT (-73.73997562053582 40.698561490401865),EAST SPRINGFIELD PLAYGROUND
544,POINT (-73.8701865497648 40.839593950381825),EAST TREMONT AVENUE OVER AMTRAK
4604,POINT (-73.89427826504675 40.84313776142428),EAST TREMONT CHILD CARE & DEVELOPMENT CENTER
2108,POINT (-73.87787228084548 40.82576686720124),EAST TREMONT HEAD START BOYNTON AVE
10003,POINT (-73.87655618675436 40.83044963199403),EAST TREMONT HEAD START MANOR AVE
9072,POINT (-73.86432934596031 40.823077848312906),EAST TREMONT SITE HEAD START 1802 STORY AVE
7910,POINT (-73.9783821187793 40.72764815439527),EAST VILLAGE COMMUNITY SCHOOL
18313,POINT (-73.98498812024125 40.72838449723833),EAST VILLAGE HOTEL
11533,POINT (-73.98182504630654 40.72783040446686),EAST VILLAGE TOTS
14365,POINT (-73.82129114362873 40.74938238303782),EAST WEST SCHOOL OF INTERNATIONAL STUDIES
11592,POINT (-73.93915647336445 40.712041034762215),EAST WILLIAMSBURG SCHOLARS ACADEMY
67,POINT (-73.8238485910341 40.88771112667516),EASTCHESTER
4822,POINT (-73.80076697409123 40.83307471949883),EASTCHESTER BAY
5859,POINT (-73.81257099153282 40.86113121503524),EASTCHESTER BAY CHANNEL BUOY 11
5858,POINT (-73.80900458495007 40.85471999025029),EASTCHESTER BAY CHANNEL BUOY 6
1462,POINT (-73.81000389384886 40.8592570214017),EASTCHESTER BAY CHANNEL BUOY 7
1603,POINT (-73.81034233663169 40.859954581938396),EASTCHESTER BAY CHANNEL BUOY 9
4647,POINT (-73.80891443290336 40.8472984668138),EASTCHESTER BAY SHOAL LIGHTED BUOY 4
10924,POINT (-73.85393668140284 40.87020423150152),EASTCHESTER CHILDREN'S CENTER
2071,POINT (-73.854133246085 40.87085108551224),EASTCHESTER GARDENS BLDG 1
2484,POINT (-73.85399536647391 40.87002367618359),EASTCHESTER GARDENS BLDG 10
2418,POINT (-73.85321702353767 40.87085686068241),EASTCHESTER GARDENS BLDG 2
8341,POINT (-73.85231267399772 40.870840559376106),EASTCHESTER GARDENS BLDG 3
5632,POINT (-73.85142174093464 40.87079498003142),EASTCHESTER GARDENS BLDG 4
10394,POINT (-73.85030715512673 40.870802156947455),EASTCHESTER GARDENS BLDG 5
7592,POINT (-73.85032731880574 40.87026486002453),EASTCHESTER GARDENS BLDG 6
4884,POINT (-73.850333765827 40.86970188792057),EASTCHESTER GARDENS BLDG 7
5599,POINT (-73.85115929660601 40.86970013693942),EASTCHESTER GARDENS BLDG 8
7510,POINT (-73.85182291250986 40.869715576896574),EASTCHESTER GARDENS BLDG 9
15044,POINT (-73.85386744188035 40.870168934341095),EASTCHESTER GARDENS COMMUNITY CENTER
8093,POINT (-73.85222056015564 40.87025661113938),EASTCHESTER GARDENS HOUSES
2173,POINT (-73.84506429776613 40.87012943763203),EASTCHESTER LIBRARY
7720,POINT (-73.85288546143714 40.869832926731604),EASTCHESTER PLAYGROUND
19468,POINT (-73.8527071040332 40.86976377216578),EASTCHESTER PLAYGROUND COMFORT STATION
587,POINT (-73.84395267005713 40.87246451060197),EASTCHESTER RD OVR NYCT DYRE AVE
18155,POINT (-73.84287107684767 40.86567280736046),EASTCHESTER REHAB & HEALTHCARE CENTER
41,POINT (-73.88427532341606 40.82272085731952),EASTERN BLVD
18082,POINT (-73.98792691318596 40.68110609766163),EASTERN EFFECT DEGRAW ST
11733,POINT (-73.93365270815322 40.668482585322),EASTERN PARKWAY LIBRARY
19812,POINT (-73.94203221322867 40.66952139983169),EASTERN PARKWAY MALLS
749,POINT (-73.95897532988084 40.67087029014894),EASTERN PKWY OV FRANKLIN AV SHTL
17611,POINT (-73.84637490813842 40.876369890071516),EASTWOOD MANOR CATERERS
17436,POINT (-74.01193184467029 40.71011869130655),EATALY DOWNTOWN
17437,POINT (-73.98967371384582 40.742034768213905),EATALY FLATIRON
14411,POINT (-73.95957997660061 40.66482447784753),EBBETS FIELD MIDDLE SCHOOL
14250,POINT (-73.92924984182112 40.694643888313934),EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK
9697,POINT (-73.83323027551108 40.761928440587475),EBENEZER BAPTIST CHURCH
5121,POINT (-73.91678574052072 40.67763958409495),EBENEZER BAPTIST CHURCH
5448,POINT (-73.93594121162994 40.64150818042405),EBENEZER DAY CARE CENTER I/T
17506,POINT (-73.94755681846497 40.80546593955443),EBENEZER GOSPEL TABERNACLE
16616,POINT (-73.93551047298159 40.66945134822131),EBENEZER ME RUSSELL ELEMENTARY SCHOOL
17170,POINT (-73.75025198385954 40.734875964205955),EBENEZER MISSION CHURCH
16803,POINT (-73.92588775201104 40.641646645505226),EBENEZER PREPARATORY SCHOOL
13089,POINT (-73.9523037470419 40.676033622926205),EBENEZER WESLEYAN METHODIST CHURCH
1805,POINT (-73.94108947837466 40.82185386818554),ECDO HEAD START
2777,POINT (-73.90616813786117 40.84992085609086),ECHO TRIANGLE
5193,POINT (-73.92930347431748 40.618657015245795),ECO 4 KIDS DAYCARE
16771,POINT (-73.9860214751219 40.739414399089206),ECOLE INTERNATIONALE DE NY SCHOOL
8078,POINT (-73.82495022827342 40.676880257210236),ECONO LODGE HOTEL SOUTH OZONE PARK
17366,POINT (-73.98798878824746 40.76048644291277),ECONO LODGE HOTEL TIMES SQUARE
8593,POINT (-73.97163490314075 40.75009039483081),ECUADOR CONSULATE
16220,POINT (-73.96552606255143 40.752154327685034),ECUADOR MISSION TO UN
199,POINT (-73.95416958994653 40.75661779985293),ED KOCH QNSBORO BR LWR LVL MANH
388,POINT (-73.95035064880369 40.754969686493375),ED KOCH QNSBORO BR LWR LVL QNS
389,POINT (-73.95024342514151 40.755095345715134),ED KOCH QNSBORO BR UPPER LVL QNS
200,POINT (-73.9539018697039 40.7567170303991),ED KOCH QNSBORO BR UPR LVL MANH
46,POINT (-73.95806128277657 40.758391053852),ED KOCH QUEENSBORO
48,POINT (-73.95072222706568 40.755219712929794),ED KOCH QUEENSBORO
123,POINT (-73.95064228884173 40.755191475368036),ED KOCH QUEENSBORO BR LOWER RDWY
121,POINT (-73.95808568715634 40.75841793372376),ED KOCH QUEENSBORO BR LOWER RDWY
120,POINT (-73.9580079079661 40.75838361317761),ED KOCH QUEENSBORO BR UPPER RDWY
122,POINT (-73.95076277848078 40.75524409106362),ED KOCH QUEENSBORO BR UPPER RDWY
2167,POINT (-73.9829219091849 40.763807623256476),ED SULLIVAN THEATER
2518,POINT (-73.90977000928905 40.68322664474863),EDDIE HARRIS MENS SHELTER
17360,POINT (-73.90970372683573 40.84145227867259),EDEN CHRISTIAN ACADEMY
7751,POINT (-74.148599686823 40.63361976264911),EDEN II PROGRAM GRANITE AVE
8566,POINT (-73.99968557073682 40.62277779679716),EDEN NURSERY
19665,POINT (-73.93256948571113 40.67444046866849),EDEN'S COMMUNITY GARDEN ST MARKS AVE
10969,POINT (-73.84492339093187 40.885855198601895),EDENWALD COMMUNITY CENTER
12158,POINT (-73.845086552739 40.88613668534406),EDENWALD HOUSES
8609,POINT (-73.84330573671754 40.88785715713365),EDENWALD HOUSES BUILDING 1
1899,POINT (-73.84395931541431 40.88770232846217),EDENWALD HOUSES BUILDING 10
6085,POINT (-73.84514056282846 40.88754873343702),EDENWALD HOUSES BUILDING 11
10187,POINT (-73.8461317978992 40.88741398131293),EDENWALD HOUSES BUILDING 12
6885,POINT (-73.84676914504224 40.887067760245614),EDENWALD HOUSES BUILDING 13
4086,POINT (-73.84579869964932 40.8869367928083),EDENWALD HOUSES BUILDING 14
4275,POINT (-73.84511691820732 40.88687304793651),EDENWALD HOUSES BUILDING 15
7220,POINT (-73.84454093080748 40.88669634404734),EDENWALD HOUSES BUILDING 16
10312,POINT (-73.844048815866 40.886358875811155),EDENWALD HOUSES BUILDING 17
5573,POINT (-73.84361769108231 40.88598263222977),EDENWALD HOUSES BUILDING 18
6826,POINT (-73.84301467958535 40.88556636521417),EDENWALD HOUSES BUILDING 19
